Rank,Probability,Label,SOC code,Occupation,2010 SOC Code,2010 SOC Title,2018 SOC Code,2018 SOC Title
430,0.79,,43-5053,"Postal service mail sorters, processors, and processing machine operators",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
431,0.79,,53-3032,Heavy and tractor-trailer truck drivers,53-3032,Heavy and Tractor-Trailer Truck Drivers,53-3032,Heavy and Tractor-Trailer Truck Drivers
432,0.79,,39-5093,Shampooers,39-5093,Shampooers,39-5093,Shampooers
433,0.79,,47-2081,Drywall and ceiling tile installers,47-2081,Drywall and Ceiling Tile Installers,47-2081,Drywall and Ceiling Tile Installers
434,0.79,,49-9098,"Helpers–installation, maintenance, and repair workers",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",49-9098,"Helpers--Installation, Maintenance, and Repair Workers"
435,0.79,,49-3052,Motorcycle mechanics,49-3052,Motorcycle Mechanics,49-3052,Motorcycle Mechanics
436,0.79,,51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
437,0.79,,45-4022,Logging equipment operators,45-4022,Logging Equipment Operators,45-4022,Logging Equipment Operators
438,0.79,,47-2042,"Floor layers, except carpet, wood, and hard tiles",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
439,0.8,,39-5011,Barbers,39-5011,Barbers,39-5011,Barbers
440,0.8,,47-5011,"Derrick operators, oil and gas",47-5011,"Derrick Operators, Oil and Gas",47-5011,"Derrick Operators, Oil and Gas"
441,0.81,1.0,35-2011,"Cooks, fast food",35-2011,"Cooks, Fast Food",35-2011,"Cooks, Fast Food"
442,0.81,,43-9022,Word processors and typists,43-9022,Word Processors and Typists,43-9022,Word Processors and Typists
443,0.81,1.0,17-3012,Electrical and electronics drafters,17-3012,Electrical and Electronics Drafters,17-3012,Electrical and Electronics Drafters
444,0.81,,17-3024,Electro-mechanical technicians,17-3024,Electro-Mechanical Technicians,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
445,0.81,,51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
446,0.81,,11-9141,"Property, real estate, and community association managers",11-9141,"Property, Real Estate, and Community Association Managers",11-9141,"Property, Real Estate, and Community Association Managers"
447,0.81,,43-6013,Medical secretaries,43-6013,Medical Secretaries,43-6013,Medical Secretaries and Administrative Assistants
448,0.81,,51-6021,"Pressers, textile, garment, and related materials",51-6021,"Pressers, Textile, Garment, and Related Materials",51-6021,"Pressers, Textile, Garment, and Related Materials"
449,0.82,,51-2031,Engine and other machine assemblers,51-2031,Engine and Other Machine Assemblers,51-2031,Engine and Other Machine Assemblers
450,0.82,,49-2098,Security and fire alarm systems installers,49-2098,Security and Fire Alarm Systems Installers,49-2098,Security and Fire Alarm Systems Installers
451,0.82,,49-9045,"Refractory materials repairers, except brickmasons",49-9045,"Refractory Materials Repairers, Except Brickmasons",49-9045,"Refractory Materials Repairers, Except Brickmasons"
452,0.82,,39-2021,Nonfarm animal caretakers,39-2021,Nonfarm Animal Caretakers,39-2021,Animal Caretakers
453,0.82,1.0,47-2211,Sheet metal workers,47-2211,Sheet Metal Workers,47-2211,Sheet Metal Workers
454,0.82,,47-2072,Pile-driver operators,47-2072,Pile Driver Operators,47-2072,Pile Driver Operators
455,0.82,,47-2021,Brickmasons and blockmasons,47-2021,Brickmasons and Blockmasons,47-2021,Brickmasons and Blockmasons
456,0.83,,45-3011,Fishers and related fishing workers,45-3011,Fishers and Related Fishing Workers,45-3031,Fishing and Hunting Workers (##)
457,0.83,,47-2221,Structural iron and steel workers,47-2221,Structural Iron and Steel Workers,47-2221,Structural Iron and Steel Workers
458,0.83,,53-4021,"Railroad brake, signal, and switch operators",53-4021,"Railroad Brake, Signal, and Switch Operators",53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers (##)"
459,0.83,,53-4031,Railroad conductors and yardmasters,53-4031,Railroad Conductors and Yardmasters,53-4031,Railroad Conductors and Yardmasters
460,0.83,,35-2012,"Cooks, institution and cafeteria",35-2012,"Cooks, Institution and Cafeteria",35-2012,"Cooks, Institution and Cafeteria"
461,0.83,,53-5011,Sailors and marine oilers,53-5011,Sailors and Marine Oilers,53-5011,Sailors and Marine Oilers
462,0.83,,51-9023,"Mixing and blending machine setters, operators, and tenders",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
463,0.83,,47-3011,"Helpers–brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
464,0.83,,47-4091,Segmental pavers,47-4091,Segmental Pavers,47-4091,Segmental Pavers
465,0.83,,47-2131,"Insulation workers, floor, ceiling, and wall",47-2131,"Insulation Workers, Floor, Ceiling, and Wall",47-2131,"Insulation Workers, Floor, Ceiling, and Wall"
466,0.83,,51-5112,Printing press operators,51-5112,Printing Press Operators,51-5112,Printing Press Operators
467,0.83,,53-6031,Automotive and watercraft service attendants,53-6031,Automotive and Watercraft Service Attendants,53-6031,Automotive and Watercraft Service Attendants
468,0.83,,47-4071,Septic tank servicers and sewer pipe cleaners,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners
469,0.83,,39-6011,Baggage porters and bellhops,39-6011,Baggage Porters and Bellhops,39-6011,Baggage Porters and Bellhops
470,0.83,,41-2012,Gaming change persons and booth cashiers,41-2012,Gaming Change Persons and Booth Cashiers,41-2012,Gambling Change Persons and Booth Cashiers
471,0.83,,51-4023,"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
472,0.83,,47-2071,"Paving, surfacing, and tamping equipment operators",47-2071,"Paving, Surfacing, and Tamping Equipment Operators",47-2071,"Paving, Surfacing, and Tamping Equipment Operators"
473,0.84,,51-4111,Tool and die makers,51-4111,Tool and Die Makers,51-4111,Tool and Die Makers
474,0.84,,17-3023,Electrical and electronics engineering technicians,17-3023,Electrical and Electronics Engineering Technicians,17-3023,Electrical and Electronic Engineering Technologists and Technicians
475,0.84,,47-2161,Plasterers and stucco masons,47-2161,Plasterers and Stucco Masons,47-2161,Plasterers and Stucco Masons
476,0.84,,51-4192,"Layout workers, metal and plastic",51-4192,"Layout Workers, Metal and Plastic",51-4192,"Layout Workers, Metal and Plastic"
477,0.84,,51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
478,0.84,,33-9032,Security guards,33-9032,Security Guards,33-9032,Security Guards
479,0.84,,51-6052,"Tailors, dressmakers, and custom sewers",51-6052,"Tailors, Dressmakers, and Custom Sewers",51-6052,"Tailors, Dressmakers, and Custom Sewers"
480,0.84,,53-7073,Wellhead pumpers,53-7073,Wellhead Pumpers,53-7073,Wellhead Pumpers
481,0.84,,43-9081,Proofreaders and copy markers,43-9081,Proofreaders and Copy Markers,43-9081,Proofreaders and Copy Markers
482,0.84,,33-3041,Parking enforcement workers,33-3041,Parking Enforcement Workers,33-3041,Parking Enforcement Workers
483,0.85,,53-7062,"Labourers and freight, stock, and material movers, hand",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"
484,0.85,,41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
485,0.85,1.0,43-5041,"Meter readers, utilities",43-5041,"Meter Readers, Utilities",43-5041,"Meter Readers, Utilities"
486,0.85,,51-8013,Power plant operators,51-8013,Power Plant Operators,51-8013,Power Plant Operators
487,0.85,,51-8091,Chemical plant and system operators,51-8091,Chemical Plant and System Operators,51-8091,Chemical Plant and System Operators
488,0.85,,47-5021,"Earth drillers, except oil and gas",47-5021,"Earth Drillers, Except Oil and Gas (#)",47-5023,"Earth Drillers, Except Oil and Gas"
488,0.85,,47-5021,"Earth drillers, except oil and gas",47-5021,"Earth Drillers, Except Oil and Gas (#)",47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters (##)"
489,0.85,,19-4051,Nuclear technicians,19-4051,Nuclear Technicians,19-4051,Nuclear Technicians
490,0.86,,43-6011,Executive secretaries and executive administrative assistants,43-6011,Executive Secretaries and Executive Administrative Assistants,43-6011,Executive Secretaries and Executive Administrative Assistants
491,0.86,,51-8099,"Plant and system operators, all other",51-8099,"Plant and System Operators, All Other",51-8099,"Plant and System Operators, All Other"
492,0.86,,35-3041,"Food servers, nonrestaurant",35-3041,"Food Servers, Nonrestaurant",35-3041,"Food Servers, Nonrestaurant"
493,0.86,,51-7041,"Sawing machine setters, operators, and tenders, wood",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
494,0.86,,53-4041,Subway and streetcar operators,53-4041,Subway and Streetcar Operators,53-4041,Subway and Streetcar Operators
495,0.86,,31-9096,Veterinary assistants and laboratory animal caretakers,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,31-9096,Veterinary Assistants and Laboratory Animal Caretakers
496,0.86,,51-9032,"Cutting and slicing machine setters, operators, and tenders",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
497,0.86,,41-9022,Real estate sales agents,41-9022,Real Estate Sales Agents,41-9022,Real Estate Sales Agents
498,0.86,1.0,51-4011,"Computer-controlled machine tool operators, metal and plastic",51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-9161,Computer Numerically Controlled Tool Operators (##)
499,0.86,,49-9043,"Maintenance workers, machinery",49-9043,"Maintenance Workers, Machinery",49-9043,"Maintenance Workers, Machinery"
500,0.86,,43-4021,Correspondence clerks,43-4021,Correspondence Clerks,43-4021,Correspondence Clerks
501,0.87,,45-2090,Miscellaneous agricultural workers,,,,
502,0.87,,45-4011,Forest and conservation workers,45-4011,Forest and Conservation Workers,45-4011,Forest and Conservation Workers
503,0.87,,51-4052,"Pourers and casters, metal",51-4052,"Pourers and Casters, Metal",51-4052,"Pourers and Casters, Metal"
504,0.87,,47-2041,Carpet Installers,47-2041,Carpet Installers,47-2041,Carpet Installers
505,0.87,,47-2142,Paperhangers,47-2142,Paperhangers,47-2142,Paperhangers
506,0.87,,13-1021,"Buyers and purchasing agents, farm products",13-1021,"Buyers and Purchasing Agents, Farm Products",13-1021,"Buyers and Purchasing Agents, Farm Products"
507,0.87,,51-7021,Furniture Finishers,51-7021,Furniture Finishers,51-7021,Furniture Finishers
508,0.87,,35-2021,Food preparation workers,35-2021,Food Preparation Workers,35-2021,Food Preparation Workers
509,0.87,,47-2043,Floor sanders and finishers,47-2043,Floor Sanders and Finishers,47-2043,Floor Sanders and Finishers
510,0.87,1.0,53-6021,Parking lot attendants,53-6021,Parking Lot Attendants,53-6021,Parking Attendants
511,0.87,,47-4051,Highway maintenance workers,47-4051,Highway Maintenance Workers,47-4051,Highway Maintenance Workers
512,0.88,,47-2061,Construction labourers,47-2061,Construction Laborers,47-2061,Construction Laborers
513,0.88,,43-5061,"Production, planning, and expediting clerks",43-5061,"Production, Planning, and Expediting Clerks",43-5061,"Production, Planning, and Expediting Clerks"
514,0.88,,51-9141,Semiconductor Processors,51-9141,Semiconductor Processors,51-9141,Semiconductor Processing Technicians
515,0.88,,17-1021,Cartographers and photogrammetrists,17-1021,Cartographers and Photogrammetrists,17-1021,Cartographers and Photogrammetrists
516,0.88,,51-4051,Metal-refining furnace operators and tenders,51-4051,Metal-Refining Furnace Operators and Tenders,51-4051,Metal-Refining Furnace Operators and Tenders
517,0.88,,51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
518,0.88,,51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
519,0.88,,47-2053,Terrazzo workers and finishers,47-2053,Terrazzo Workers and Finishers,47-2053,Terrazzo Workers and Finishers
520,0.88,,51-4194,"Tool grinders, filers, and sharpeners",51-4194,"Tool Grinders, Filers, and Sharpeners",51-4194,"Tool Grinders, Filers, and Sharpeners"
521,0.88,,49-3043,Rail car repairers,49-3043,Rail Car Repairers,49-3043,Rail Car Repairers
522,0.89,,51-3011,Bakers,51-3011,Bakers,51-3011,Bakers
523,0.89,1.0,31-9094,Medical transcriptionists,31-9094,Medical Transcriptionists,31-9094,Medical Transcriptionists
524,0.89,,47-2022,Stonemasons,47-2022,Stonemasons,47-2022,Stonemasons
525,0.89,,53-3022,"Bus drivers, school or special client",53-3022,"Bus Drivers, School or Special Client (#)",53-3051,"Bus Drivers, School"
525,0.89,,53-3022,"Bus drivers, school or special client",53-3022,"Bus Drivers, School or Special Client (#)",53-3053,Shuttle Drivers and Chauffeurs (##)
526,0.89,1.0,27-3042,Technical writers,27-3042,Technical Writers,27-3042,Technical Writers
527,0.89,,49-9096,Riggers,49-9096,Riggers,49-9096,Riggers
528,0.89,,47-4061,Rail-track laying and maintenance equipment operators,47-4061,Rail-Track Laying and Maintenance Equipment Operators,47-4061,Rail-Track Laying and Maintenance Equipment Operators
529,0.89,,51-8021,Stationary engineers and boiler operators,51-8021,Stationary Engineers and Boiler Operators,51-8021,Stationary Engineers and Boiler Operators
530,0.89,1.0,51-6031,Sewing machine operators,51-6031,Sewing Machine Operators,51-6031,Sewing Machine Operators
531,0.89,1.0,53-3041,Taxi drivers and chauffeurs,53-3041,Taxi Drivers and Chauffeurs (#),53-3053,Shuttle Drivers and Chauffeurs (##)
531,0.89,1.0,53-3041,Taxi drivers and chauffeurs,53-3041,Taxi Drivers and Chauffeurs (#),53-3054,Taxi Drivers
532,0.9,1.0,43-4161,"Human resources assistants, except payroll and timekeeping",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping"
533,0.9,,29-2011,Medical and clinical laboratory technologists,29-2011,Medical and Clinical Laboratory Technologists,29-2011,Medical and Clinical Laboratory Technologists
534,0.9,,47-2171,Reinforcing iron and rebar workers,47-2171,Reinforcing Iron and Rebar Workers,47-2171,Reinforcing Iron and Rebar Workers
535,0.9,,47-2181,Roofers,47-2181,Roofers,47-2181,Roofers
536,0.9,,53-7021,Crane and tower operators,53-7021,Crane and Tower Operators,53-7021,Crane and Tower Operators
537,0.9,,53-6041,Traffic technicians,53-6041,Traffic Technicians,53-6041,Traffic Technicians
538,0.9,,53-6051,Transportation inspectors,53-6051,Transportation Inspectors,53-6051,Transportation Inspectors
539,0.9,,51-4062,"Patternmakers, metal and plastic",51-4062,"Patternmakers, Metal and Plastic",51-4062,"Patternmakers, Metal and Plastic"
540,0.9,,51-9195,"Molders, shapers, and casters, except metal and plastic",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
541,0.9,,13-2021,Appraisers and assessors of real estate,13-2021,Appraisers and Assessors of Real Estate (#),13-2022,Appraisers of Personal and Business Property
541,0.9,,13-2021,Appraisers and assessors of real estate,13-2021,Appraisers and Assessors of Real Estate (#),13-2023,Appraisers and Assessors of Real Estate
542,0.9,,53-7072,"Pump operators, except wellhead pumpers",53-7072,"Pump Operators, Except Wellhead Pumpers",53-7072,"Pump Operators, Except Wellhead Pumpers"
543,0.9,,49-9097,Signal and track switch repairers,49-9097,Signal and Track Switch Repairers,49-9097,Signal and Track Switch Repairers
544,0.91,,39-3012,Gaming and sports book writers and runners,39-3012,Gaming and Sports Book Writers and Runners,39-3012,Gambling and Sports Book Writers and Runners
545,0.91,,49-9063,Musical instrument repairers and tuners,49-9063,Musical Instrument Repairers and Tuners,49-9063,Musical Instrument Repairers and Tuners
546,0.91,,39-7011,Tour guides and escorts,39-7011,Tour Guides and Escorts,39-7011,Tour Guides and Escorts
547,0.91,,49-9011,Mechanical door repairers,49-9011,Mechanical Door Repairers,49-9011,Mechanical Door Repairers
548,0.91,,51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
549,0.91,,53-7071,Gas compressor and gas pumping station operators,53-7071,Gas Compressor and Gas Pumping Station Operators,53-7071,Gas Compressor and Gas Pumping Station Operators
550,0.91,,29-2071,Medical records and health information technicians,29-2071,Medical Records and Health Information Technicians (#),29-2072,Medical Records Specialists
550,0.91,,29-2071,Medical records and health information technicians,29-2071,Medical Records and Health Information Technicians (#),29-9021,Health Information Technologists and Medical Registrars (##)
551,0.91,,51-9121,"Coating, painting, and spraying machine setters, operators, and tenders",51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (##)"
552,0.91,,51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
553,0.91,,53-4013,"Rail yard engineers, dinkey operators, and hostlers",53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
554,0.91,,49-2093,"Electrical and electronics installers and repairers, transportation equipment",49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
555,0.91,,35-9011,Dining room and cafeteria attendants and bartender helpers,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers
556,0.91,,51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
557,0.91,,19-4041,Geological and petroleum technicians,19-4041,Geological and Petroleum Technicians (#),19-4043,"Geological Technicians, Except Hydrologic Technicians"
557,0.91,,19-4041,Geological and petroleum technicians,19-4041,Geological and Petroleum Technicians (#),19-4044,Hydrologic Technicians (##)
558,0.91,,49-3021,Automotive body and related repairers,49-3021,Automotive Body and Related Repairers,49-3021,Automotive Body and Related Repairers
559,0.91,,51-7032,"Patternmakers, wood",51-7032,"Patternmakers, Wood",51-7032,"Patternmakers, Wood"
560,0.91,,51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
561,0.92,,43-9071,"Office machine operators, except computer",43-9071,"Office Machine Operators, Except Computer",43-9071,"Office Machine Operators, Except Computer"
562,0.92,,29-2052,Pharmacy technicians,29-2052,Pharmacy Technicians,29-2052,Pharmacy Technicians
563,0.92,,43-4131,Loan interviewers and clerks,43-4131,Loan Interviewers and Clerks,43-4131,Loan Interviewers and Clerks
564,0.92,,53-7031,Dredge operators,53-7031,Dredge Operators,53-7031,Dredge Operators
565,0.92,,41-3021,Insurance sales agents,41-3021,Insurance Sales Agents,41-3021,Insurance Sales Agents
566,0.92,,51-7011,Cabinetmakers and bench carpenters,51-7011,Cabinetmakers and Bench Carpenters,51-7011,Cabinetmakers and Bench Carpenters
567,0.92,,51-9123,"Painting, coating, and decorating workers",51-9123,"Painting, Coating, and Decorating Workers",51-9123,"Painting, Coating, and Decorating Workers"
568,0.92,,47-4031,Fence erectors,47-4031,Fence Erectors,47-4031,Fence Erectors
569,0.92,,51-4193,"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
570,0.92,,41-2031,Retail salespersons,41-2031,Retail Salespersons,41-2031,Retail Salespersons
571,0.92,,35-3021,"Combined food preparation and serving workers, including fast food",35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",35-3023,Fast Food and Counter Workers (##)
572,0.92,,51-9399,"Production workers, all other",,,,
573,0.92,,47-3012,Helpers–carpenters,47-3012,Helpers--Carpenters,47-3012,Helpers--Carpenters
574,0.93,,51-9193,Cooling and freezing equipment operators and tenders,51-9193,Cooling and Freezing Equipment Operators and Tenders,51-9193,Cooling and Freezing Equipment Operators and Tenders
575,0.93,,51-2091,Fiberglass laminators and fabricators,51-2091,Fiberglass Laminators and Fabricators,51-2051,Fiberglass Laminators and Fabricators
576,0.93,,47-5013,"Service unit operators, oil, gas, and mining",47-5013,"Service Unit Operators, Oil, Gas, and Mining",47-5013,"Service Unit Operators, Oil and Gas"
577,0.93,,53-7011,Conveyor operators and tenders,53-7011,Conveyor Operators and Tenders,53-7011,Conveyor Operators and Tenders
578,0.93,,49-3053,Outdoor power equipment and other small engine mechanics,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics
579,0.93,,53-4012,Locomotive firers,53-4012,Locomotive Firers,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers (##)"
580,0.93,,53-7063,Machine feeders and offbearers,53-7063,Machine Feeders and Offbearers,53-7063,Machine Feeders and Offbearers
581,0.93,,51-4061,"Model makers, metal and plastic",51-4061,"Model Makers, Metal and Plastic",51-4061,"Model Makers, Metal and Plastic"
582,0.93,,49-2021,"Radio, cellular, and tower equipment installers and repairs",49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers"
583,0.93,,51-3021,Butchers and meat cutters,51-3021,Butchers and Meat Cutters,51-3021,Butchers and Meat Cutters
584,0.93,,51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
585,0.93,,53-7081,Refuse and recyclable material collectors,53-7081,Refuse and Recyclable Material Collectors,53-7081,Refuse and Recyclable Material Collectors
586,0.93,1.0,13-2081,"Tax examiners and collectors, and revenue agents",13-2081,"Tax Examiners and Collectors, and Revenue Agents",13-2081,"Tax Examiners and Collectors, and Revenue Agents"
587,0.93,,51-4022,"Forging machine setters, operators, and tenders, Metal and Plastic",51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
588,0.93,1.0,53-7051,Industrial truck and tractor operators,53-7051,Industrial Truck and Tractor Operators,53-7051,Industrial Truck and Tractor Operators
589,0.94,1.0,13-2011,Accountants and auditors,13-2011,Accountants and Auditors,13-2011,Accountants and Auditors
590,0.94,,51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
591,0.94,,43-9051,"Mail clerks and mail machine operators, except postal service",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
592,0.94,0.0,35-3031,Waiters and waitresses,35-3031,Waiters and Waitresses,35-3031,Waiters and Waitresses
593,0.94,,51-3022,"Meat, poultry, and fish cutters and trimmers",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
594,0.94,,13-2031,Budget analysts,13-2031,Budget Analysts,13-2031,Budget Analysts
595,0.94,,47-2051,Cement masons and concrete finishers,47-2051,Cement Masons and Concrete Finishers,47-2051,Cement Masons and Concrete Finishers
596,0.94,,49-3091,Bicycle repairers,49-3091,Bicycle Repairers,49-3091,Bicycle Repairers
597,0.94,,49-9091,"Coin, vending, and amusement machine servicers and repairers",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
598,0.94,,51-4121,"Welders, cutters, solderers, and brazers",51-4121,"Welders, Cutters, Solderers, and Brazers",51-4121,"Welders, Cutters, Solderers, and Brazers"
599,0.94,1.0,43-5021,Couriers and messengers,43-5021,Couriers and Messengers,43-5021,Couriers and Messengers
600,0.94,,43-4111,"Interviewers, except eligibility and loan",43-4111,"Interviewers, Except Eligibility and Loan",43-4111,"Interviewers, Except Eligibility and Loan"
601,0.94,,35-2015,"Cooks, short order",35-2015,"Cooks, Short Order",35-2015,"Cooks, Short Order"
602,0.94,,53-7032,Excavating and loading machine and dragline operators,53-7032,Excavating and Loading Machine and Dragline Operators (#),47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
602,0.94,,53-7032,Excavating and loading machine and dragline operators,53-7032,Excavating and Loading Machine and Dragline Operators (#),53-7199,"Material Moving Workers, All Other (##)"
603,0.94,,47-3014,"Helpers–painters, paperhangers, plasterers, and stucco masons",47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
604,0.94,,43-4081,"Hotel, motel, and resort desk clerks",43-4081,"Hotel, Motel, and Resort Desk Clerks",43-4081,"Hotel, Motel, and Resort Desk Clerks"
605,0.94,,51-9197,Tire builders,51-9197,Tire Builders,51-9197,Tire Builders
606,0.94,,41-9091,"Door-to-door sales workers, news and street vendors, and related workers",41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
607,0.94,,37-1011,First-line Supervisors of housekeeping and janitorial workers,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers
608,0.94,,45-2011,Agricultural inspectors,45-2011,Agricultural Inspectors,45-2011,Agricultural Inspectors
609,0.94,1.0,23-2011,Paralegals and legal assistants,23-2011,Paralegals and Legal Assistants,23-2011,Paralegals and Legal Assistants
610,0.95,,39-5092,Manicurists and pedicurists,39-5092,Manicurists and Pedicurists,39-5092,Manicurists and Pedicurists
611,0.95,,43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
612,0.95,,51-6062,"Textile cutting machine setters, operators, and tenders",51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
613,0.95,,43-3011,Bill and account collectors,43-3011,Bill and Account Collectors,43-3011,Bill and Account Collectors
