onet_soc_code,synonyms,tasks
25-1199.00,"We're sorry, the requested page could not be found. Please try the following:",
11-9199.09,"Site Manager, Wind Operations Supervisor, Wind Plant Manager, Wind Site Manager","Manage wind field operations, including personnel, maintenance activities, financial activities, and planning."
19-3051.00,"Community Development Planner, Planner, Planning Consultant, Planning Technician","Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas."
27-2022.00,"Basketball Coach, Coach, Football Coach, Track and Field Coach",Instruct or coach groups or individuals in the fundamentals of sports for the primary purpose of competition. Demonstrate techniques and methods of participation. May evaluate athletes' strengths and weaknesses as possible recruits or to improve the athletes' technique to prepare them for competition. Those required to hold teaching certifications should be reported in the appropriate teaching category.
43-4131.00,"Licensed Loan Officer Assistant, Loan Analyst, Loan Processor, Mortgage Loan Processor","Interview loan applicants to elicit information; investigate applicants' backgrounds and verify references; prepare loan request papers; and forward findings, reports, and documents to appraisal department. Review loan papers to ensure completeness, and complete transactions between loan establishment, borrowers, and sellers upon approval of loan."
13-1075.00,"Business Agent, Business Representative, Labor Relations Specialist, Labor Specialist","Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints."
11-9171.00,"Funeral Director, Funeral Home Manager, Funeral Service Manager, Location Manager","Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes."
47-5023.00,"Blast Hole Driller, Drill Operator, Driller, Well Driller","Operate a variety of drills such as rotary, churn, and pneumatic to tap subsurface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. Includes horizontal and earth boring machine operators."
51-4194.00,"Grinder, Grinder Operator, Saw Filer, Tool Grinder","Perform precision smoothing, sharpening, polishing, or grinding of metal objects."
43-3011.00,"Collector, Debt Collector, Patient Access Specialist, Patient Account Representative","Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account, preparing statements to credit department if customer fails to respond, initiating repossession proceedings or service disconnection, and keeping records of collection and status of accounts."
47-4031.00,"Fence Builder, Fence Erector, Fence Installer, Fence Laborer","Erect and repair fences and fence gates, using hand and power tools."
13-2082.00,"Enrolled Agent, Tax Advisor, Tax Consultant, Tax Preparer",Prepare tax returns for individuals or small businesses.
51-6062.00,"Cutter, Cutter Operator, Fabric Cutter, Spreader","Set up, operate, or tend machines that cut textiles."
19-1023.00,"Conservation Biologist, Fish and Wildlife Biologist, Fisheries Biologist, Wildlife Biologist","Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats."
29-1243.00,"General Surgeon, Physician, Surgeon, Thoracic Surgeon","Diagnose and perform surgery to treat fetal abnormalities and birth defects, diseases, and injuries in fetuses, premature and newborn infants, children, and adolescents. Includes all pediatric surgical specialties and subspecialties."
51-5111.00,"Electronic Prepress Operator (EPP Operator), Plate Maker, Prepress Operator, Prepress Technician",Format and proof text and images submitted by designers and clients into finished pages that can be printed. Includes digital and photo typesetting. May produce printing plates.
49-3052.00,"All Terrain Vehicle Technician (ATV Technician), Motorcycle Mechanic, Motorcycle Technician, Service Technician","Diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt bikes, or similar motorized vehicles."
29-1011.00,"Chiropractic Doctor (DC), Chiropractic Neurologist, Chiropractic Physician, Chiropractor","Assess, treat, and care for patients by manipulation of spine and musculoskeletal system. May provide spinal adjustment or address sacral or pelvic misalignment."
29-1129.00,"We're sorry, the requested page could not be found. Please try the following:",
13-1131.00,"Contract Grant Writer, Development Officer, Fundraising Consultant, Philanthropy Officer","Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs."
25-2022.00,"Language Arts Teacher (LA Teacher), Math Teacher (Mathematics Teacher), Science Teacher, Teacher","Teach one or more subjects to students at the middle, intermediate, or junior high school level."
11-9179.01,"Fitness and Wellness Coordinator, Fitness and Wellness Director, Fitness Coordinator, Fitness Director","Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors."
43-4081.00,"Front Desk Agent, Front Desk Clerk, Guest Services Agent (GSA), Night Auditor","Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests."
19-2021.00,"Forecaster, General Forecaster, Meteorologist, Research Meteorologist","Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology."
27-3091.00,"Interpreter, Medical Interpreter, Sign Language Interpreter, Translator","Interpret oral or sign language, or translate written text from one language into another."
11-9033.00,"Academic Affairs Vice President (Academic Affairs VP), Academic Dean, Dean, Registrar","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges."
51-7041.00,"Resaw Operator, Rip Saw Operator, Saw Operator, Sawyer","Set up, operate, or tend wood sawing machines. May operate computer numerically controlled (CNC) equipment. Includes lead sawyers."
51-4041.00,"CNC Machinist (Computer Numeric Controlled Machinist), Machinist, Maintenance Machinist, Tool Room Machinist","Set up and operate a variety of machine tools to produce precision parts and instruments out of metal. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures."
47-2021.00,"Block Layer, Brick and Block Mason, Bricklayer, Mason","Lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances, to construct or repair walls, partitions, arches, sewers, and other structures."
51-4033.00,"Centerless Grinder Operator, Grinder, Grinder Operator, Grinding Machine Operator","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces."
53-3051.00,"Bus Driver, School Bus Driver, Shuttle Bus Driver, Special Education Bus Driver",Drive a school bus to transport students. Ensure adherence to safety rules. May assist students in boarding or exiting.
13-1041.00,"Driver License Examiner, License Examiner, Motor Vehicle Clerk, Public Service Representative (PSR)","Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere."
13-1161.00,"Market Analyst, Market Research Analyst, Market Research Consultant, Market Research Specialist","Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets."
53-3033.00,"Delivery Driver, Driver, Package Car Driver, Truck Driver","Drive a light vehicle, such as a truck or van, with a capacity of less than 26,001 pounds Gross Vehicle Weight (GVW), primarily to pick up merchandise or packages from a distribution center and deliver. May load and unload vehicle."
39-4012.00,,"Operate crematory equipment to reduce human or animal remains to bone fragments in accordance with state and local regulations. Duties may include preparing the body for cremation and performing general maintenance on crematory equipment. May use traditional flame-based cremation, calcination, or alkaline hydrolysis."
29-1141.04,"Clinical Nurse Specialist, Critical Care Clinical Nurse Specialist, Emergency Clinical Nurse Specialist, ICU Clinical Nurse Specialist (Intensive Care Unit Clinical Nurse Specialist)","Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards."
51-9192.00,"Clean in Places Operator (CIP Operator), Sanitation Technician, Sanitation Worker, Sanitizer","Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities."
31-2011.00,"Certified Occupational Therapist Assistant (COTA), Certified Occupational Therapy Assistant (COTA), Licensed Occupational Therapy Assistant (LOTA), Occupational Therapy Assistant (OTA)","Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with state laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training."
37-3019.00,"We're sorry, the requested page could not be found. Please try the following:",
35-3023.01,"Barista, Catering Barista",Prepare or serve specialty coffee or other beverages. Serve food such as baked goods or sandwiches to patrons.
43-9071.00,"Copy Center Operator, Copy Machine Operator, Key Operator, Machine Operator","Operate one or more of a variety of office machines, such as photocopying, photographic, and duplicating machines, or other office machines."
11-3061.00,"Materials Manager, Procurement Manager, Purchasing Director, Purchasing Manager","Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers."
33-9094.00,,Maintain order among students on a school bus. Duties include helping students safely board and exit and communicating behavioral problems. May perform pretrip and posttrip inspections and prepare for and assist in emergency evacuations.
35-2014.00,"Cook, Grill Cook, Line Cook, Prep Cook (Preparation Cook)","Prepare, season, and cook dishes such as soups, meats, vegetables, or desserts in restaurants. May order supplies, keep records and accounts, price items on menu, or plan menu."
39-9011.01,"Family Assistant, House Manager, Household Manager, Nanny","Care for children in private households and provide support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. Duties may include meal planning and preparation, laundry and clothing care, organization of play activities and outings, discipline, intellectual stimulation, language activities, and transportation."
15-1252.00,"Application Developer, Application Integration Engineer, Software Architect, Software Developer","Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team."
47-4091.00,"Cutter, Paver, Paver Installer, Paving Stone Installer","Lay out, cut, and place segmental paving units. Includes installers of bedding and restraining materials for the paving units."
51-4111.00,"Tool and Die Machinist, Tool and Die Maker, Tool and Fixture Specialist, Tool Maker","Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools."
51-8013.00,"Auxiliary Operator, Control Room Operator, Operations and Maintenance Technician (O and M Tech), Power Plant Operator","Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators."
51-9196.00,"Cup Room Technician, Folder Machine Operator, Paper Machine Backtender, Paper Machine Operator","Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products."
51-8021.00,"Boiler Operator, Operating Engineer, Stationary Engineer, Utilities Operator","Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment such as steam engines, generators, motors, turbines, and steam boilers."
51-6021.00,"Ironing Worker, Pants Presser, Presser, Shirt Presser",Press or shape articles by hand or machine.
47-4021.00,"Elevator Mechanic, Elevator Service Mechanic, Elevator Service Technician (Elevator Service Tech), Elevator Technician (Elevator Tech)","Assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters."
35-9011.00,"Barback, Bus Boy, Bus Person, Busser","Facilitate food service. Clean tables; remove dirty dishes; replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons."
51-6092.00,"Designer, Pattern Designer, Pattern Maker, Production Pattern Maker",Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.
43-9022.00,"Clerk Typist, Keyboard Specialist, Typist, Word Processor","Use word processor, computer, or typewriter to type letters, reports, forms, or other material from rough draft, corrected copy, or voice recording. May perform other clerical duties as assigned."
41-3091.00,,Sell services to individuals or businesses. May describe options or resolve client problems.
51-6099.00,"We're sorry, the requested page could not be found. Please try the following:",
43-4151.00,"Materials Specialist, Order Clerk, Warehouse Clerk, Warehouse Person","Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints."
47-1011.03,"Installation Manager, Solar Energy Installation Manager, Solar Installation Crew Foreman, Solar Installation Manager",Direct work crews installing residential or commercial solar photovoltaic or thermal systems.
25-4012.00,"Collections Curator, Collections Manager, Curator, Museum Curator","Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of institution."
49-9099.00,"We're sorry, the requested page could not be found. Please try the following:",
13-2071.00,"Certified Consumer Credit and Housing Counselor, Certified Credit Counselor, Credit Counselor, Housing Counselor","Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling."
51-8099.00,"We're sorry, the requested page could not be found. Please try the following:",
25-1066.00,"Instructor, Professor, Psychology Instructor, Psychology Professor","Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
51-3099.00,"We're sorry, the requested page could not be found. Please try the following:",
11-2033.00,"Account Supervisor, Annual Giving Director, Development Director","Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
19-3033.00,"Clinical Psychologist, Counseling Psychologist, Psychologist, Psychotherapist","Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients."
47-3015.00,Plumber's Helper,"Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment."
51-7032.00,"Mold Maker, Pattern Maker, Patternmaker, Wood Pattern Maker","Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings."
19-1099.00,"We're sorry, the requested page could not be found. Please try the following:",
25-2058.00,"High School Special Education Teacher, Special Education Resource Teacher, Special Education Teacher, Teacher","Teach academic, social, and life skills to secondary school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities."
43-4199.00,"We're sorry, the requested page could not be found. Please try the following:",
25-1021.00,"Computer Information Systems Instructor (CIS Instructor), Computer Science Professor, Instructor, Professor","Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
29-1229.02,"Hospitalist, Hospitalist Medical Doctor (Hospitalist MD), MD (Medical Doctor), Physician","Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment."
47-3013.00,"Electrical Apprentice, Electrician Apprentice, Electrician Helper, Electrician's Helper","Help electricians by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment."
41-4011.07,"Energy Consultant, Solar Consultant, Solar Sales Consultant, Solar Sales Representative (Solar Sales Rep)","Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs."
47-3014.00,"Painter Helper, Plaster Helper, Plaster Tender","Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment."
29-2055.00,"Certified Surgical Technologist (CST), Operating Room Technician (OR Tech), Surgical Technician, Surgical Technologist (Surgical Tech)","Assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel. May help set up operating room, prepare and transport patients for surgery, adjust lights and equipment, pass instruments and other supplies to surgeons and surgeons' assistants, hold retractors, cut sutures, and help count sponges, needles, supplies, and instruments."
55-1013.00,"We're sorry, the requested page could not be found. Please try the following:",
13-1199.00,"We're sorry, the requested page could not be found. Please try the following:",
29-2099.05,"Certified Ophthalmic Medical Technologist (COMT), Ophthalmic Medical Technologist (Ophthalmic Medical Tech), Ophthalmic Technologist (Ophthalmic Tech), Surgical Coordinator","Assist ophthalmologists by performing ophthalmic clinical functions and ophthalmic photography. Provide instruction and supervision to other ophthalmic personnel. Assist with minor surgical procedures, applying aseptic techniques and preparing instruments. May perform eye exams, administer eye medications, and instruct patients in care and use of corrective lenses."
43-5041.00,"Meter Reader, Meter Technician, Water Meter Reader, Water Use Inspector","Read meter and record consumption of electricity, gas, water, or steam."
11-9151.00,"Child Welfare Services Director, Social Services Director, Transitional Care Director, Vocational Rehabilitation Administrator","Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers."
47-2141.00,"Facilities Painter, Industrial Painter, Maintenance Painter, Painter","Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency."
17-2112.03,"Manufacturing Engineer, Plant Engineer, Process Engineer, Process Improvement Engineer","Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs."
53-5011.00,"Able Bodied Seaman (AB Seaman), Able Seaman, Deck Hand, Deckhand","Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels. Includes able seamen and ordinary seamen."
43-4031.00,"City Clerk, Court Clerk, License Clerk, Town Clerk","Perform clerical duties for courts of law, municipalities, or governmental licensing agencies and bureaus. May prepare docket of cases to be called; secure information for judges and court; prepare draft agendas or bylaws for town or city council; answer official correspondence; keep fiscal records and accounts; issue licenses or permits; and record data, administer tests, or collect fees."
15-1221.00,"Computer Scientist, Computer Specialist, Control System Computer Scientist, Research Scientist","Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software."
29-2091.00,"Certified Orthotist (CO), Certified Prosthetist (CP), Certified Prosthetist Orthotist (CPO), Orthotist","Design, measure, fit, and adapt orthopedic braces, appliances or prostheses, such as limbs or facial parts for patients with disabling conditions."
55-3013.00,"We're sorry, the requested page could not be found. Please try the following:",
39-6011.00,"Bell Captain, Bellman, Skycap, Valet",Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments.
51-4035.00,"CNC Licensed Mill Operator (Computer Numerical Control Licensed Mill Operator), CNC Mill Operator (Computerized Numerical Control Mill Operator), Machine Operator, Mill Operator","Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces."
25-4022.00,"Librarian, Library Media Specialist, Media Specialist, Reference Librarian","Administer and maintain libraries or collections of information, for public or private access through reference or borrowing. Work in a variety of settings, such as educational institutions, museums, and corporations, and with various types of informational materials, such as books, periodicals, recordings, films, and databases. Tasks may include acquiring, cataloging, and circulating library materials, and user services such as locating and organizing information, providing instruction on how to access information, and setting up and operating a library's media equipment."
51-9194.00,"Chemical Engraver, Engraver, Etcher, Photo Engraver","Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers."
21-1011.00,"Addictions Counselor, Chemical Dependency Counselor (CD Counselor), Counselor, Substance Abuse Counselor (SA Counselor)","Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs."
17-2061.00,"Design Engineer, Engineer, Hardware Engineer, Systems Integration Engineer","Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components."
49-3023.00,"Automotive Mechanic (Auto Mechanic), Automotive Technician (Auto Tech), Mechanic, Service Technician (Service Tech)","Diagnose, adjust, repair, or overhaul automotive vehicles."
43-4071.00,"File Clerk, Medical Records Clerk, Office Assistant, Records Clerk","File correspondence, cards, invoices, receipts, and other records in alphabetical or numerical order or according to the filing system used. Locate and remove material from file when requested."
17-3026.01,"Engineering Technician, Nanofabrication Specialist, Research Associate, Research Scientist","Implement production processes and operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff."
19-4099.03,"Digital Cartographic Technician, Geospatial Extractor, Meteorologist Liaison, Research Associate","Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips."
49-9061.00,"Camera Repair Technician, Camera Repairman, Camera Technician, Repair Technician","Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment."
53-3052.00,"Bus Driver, Bus Operator, Motor Coach Operator, Transit Bus Driver","Drive bus or motor coach, including regular route operations, charters, and private carriage. May assist passengers with baggage. May collect fares or tickets."
19-3099.00,"We're sorry, the requested page could not be found. Please try the following:",
25-3031.00,,"Teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan."
19-4012.00,"Agricultural Research Technician (Agricultural Research Tech), Agricultural Technician (Agricultural Tech), Agriculture Assistant, Seed Analyst","Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects."
25-1121.00,"Art Professor, Music Professor, Professor, Theater Professor","Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
53-5031.00,"Engineer, Ferry Engineer, Port Engineer, Tug Boat Engineer","Supervise and coordinate activities of crew engaged in operating and maintaining engines, boilers, deck machinery, and electrical, sanitary, and refrigeration equipment aboard ship."
11-9121.01,"Clinical Program Manager, Clinical Research Coordinator, Clinical Trial Manager, Research Coordinator","Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data."
49-9081.00,"Field Service Technician, Wind Farm Support Specialist, Wind Technician, Wind Turbine Technician","Inspect, diagnose, adjust, or repair wind turbines. Perform maintenance on wind turbine equipment including resolving electrical, mechanical, and hydraulic malfunctions."
29-2099.08,"Case Manager, Medicaid Service Coordinator (MSC), Patient Advocate, Patient Service Representative","Assist patients in obtaining services, understanding policies and making health care decisions."
15-1251.00,"Analyst Programmer, Computer Programmer, Programmer, Programmer Analyst","Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information."
29-1212.00,,"Diagnose, treat, manage, and prevent diseases or conditions of the cardiovascular system. May further subspecialize in interventional procedures (e.g., balloon angioplasty and stent placement), echocardiography, or electrophysiology."
17-2111.00,"Product Safety Engineer, Safety and Health Consultant, Safety Engineer, System Safety Engineer","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers."
53-2022.00,"Airport Operations Agent, Airport Operations Coordinator, Airport Operations Officer, Airport Operations Specialist","Ensure the safe takeoff and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel, dispatching, using airfield landing and navigational aids, implementing airfield safety procedures, monitoring and maintaining flight records, and applying knowledge of weather information."
35-3031.00,"Food Server, Server, Waiter, Waitress",Take orders and serve food and beverages to patrons at tables in dining establishment.
45-2021.00,"Animal Technician, Artificial Insemination Technician (AI Technician), Breeder, Dog Breeder","Select and breed animals according to their genealogy, characteristics, and offspring. May require knowledge of artificial insemination techniques and equipment use. May involve keeping records on heats, birth intervals, or pedigree."
31-9011.00,"Certified Massage Therapist (CMT), Licensed Massage Practitioner (LMP), Licensed Massage Therapist (LMT), Massage Therapist","Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans."
15-2021.00,"Computational Mathematician, Cryptographer, Mathematician, Research Scientist","Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods."
25-1011.00,"Business Instructor, Business Professor, Instructor, Professor","Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
53-4099.00,"We're sorry, the requested page could not be found. Please try the following:",
47-2121.00,"Commercial Glazier, Field Glazier, Glazer, Glazier","Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops."
41-2011.00,"Cashier, Checker, Sales Associate, Store Clerk","Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks."
17-2141.02,"Engineer, Product Engineer, Project Engineer, Research Engineer","Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components."
47-2161.00,"Plaster Applicator, Plaster Mechanic, Plasterer, Plasterer Journeyman","Apply interior or exterior plaster, cement, stucco, or similar materials. May also set ornamental plaster."
11-3051.01,"Quality Assurance Director (QA Director), Quality Assurance Manager (QA Manager), Quality Control Manager (QC Manager), Quality Manager","Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts."
53-1043.00,"Driver Manager, Fleet Manager, Trainmaster, Warehouse Supervisor",Directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.
29-1229.00,"We're sorry, the requested page could not be found. Please try the following:",
41-9031.00,"Business Development Engineer, Product Sales Engineer, Sales Engineer, Technical Marketing Engineer","Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering."
19-1012.00,"Food Scientist, Food Technologist, Research Food Technologist, Research Scientist","Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food."
43-9021.00,"Data Capture Specialist, Data Entry Clerk, Data Entry Operator, Data Transcriber","Operate data entry device, such as keyboard or photo composing perforator. Duties may include verifying data and preparing materials for printing."
29-1141.03,"Critical Care Nurse Practitioner, Critical Care Registered Nurse (CCRN), ICU Nurse (Intensive Care Unit Nurse), Staff Nurse",Provide specialized nursing care for patients in critical or coronary care units.
41-3011.00,"Advertising Account Representative, Advertising Representative, Advertising Sales Representative (Ad Sales Representative), Sales Representative","Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces."
41-3021.00,"Insurance Agent, Insurance Broker, Sales Agent, Sales Representative","Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company."
51-7042.00,"Cabinet Maker, Machine Operator, Sander, Sander Operator","Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines. May operate computer numerically controlled (CNC) equipment."
27-3092.00,"Certified Shorthand Reporter (CSR), Court Reporter, Court Stenographer, Official Court Reporter","Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers."
11-3121.00,"Employee Relations Manager, HR Administration Director (Human Resources Administration Director), Human Resources Director (HR Director), Human Resources Manager (HR Manager)","Plan, direct, or coordinate human resources activities and staff of an organization."
